# HOMER Peaks
# Peak finding parameters:
# tag directory = /MinKNOW_storage/try01/try01.02/homer/tag_Sox2_trim/
#
# total peaks = 349
# peak size = 170
# peaks found using tags on both strands
# minimum distance between peaks = 340
# fragment length = 170
# genome size = 2000000000
# Total tags = 34760216.5
# Total tags in peaks = 7003.5
# Approximate IP efficiency = 0.02%
# tags per bp = 0.017290
# expected tags per peak = 2.939
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 1.618830e-08
# FDR tag threshold = 17.0
# number of putative peaks = 1033
#
# input tag directory = /MinKNOW_storage/try01/try01.02/homer/tag_NB_trim/
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 674
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 10
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 0
#
# cmd = findPeaks /MinKNOW_storage/try01/try01.02/homer/tag_Sox2_trim/ -style factor -o auto -i /MinKNOW_storage/try01/try01.02/homer/tag_NB_trim/
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags (normalized to Control Experiment)	Control Tags	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chr10-2	chr10	21082535	21082705	+	11.2	0.631	31.500000	26.5	4.0	6.63	2.40e-13	10.34	3.75e-26	1.13
chr12-3	chr12	84532445	84532615	+	10.1	0.617	32.500000	23.8	2.5	9.52	5.03e-15	9.41	2.40e-22	1.01
chr10-3	chr10	87384827	87384997	+	8.63	0.650	30.000000	20.4	2.0	10.21	6.44e-14	8.78	1.40e-18	0.98
chr2-11	chr2	25126285	25126455	+	8.49	0.639	25.000000	20.1	3.0	6.69	8.31e-11	7.62	3.07e-16	1.07
chr5-2	chr5	115436721	115436891	+	8.49	0.583	26.000000	20.1	0.5	40.14	2.38e-25	5.82	2.35e-13	1.09
chr3-5	chr3	95015551	95015721	+	8.34	0.654	26.000000	19.7	2.5	7.89	2.80e-11	8.53	1.09e-17	1.03
chr7-2	chr7	127745817	127745987	+	8.34	0.660	26.000000	19.7	2.0	9.86	6.48e-13	6.76	3.94e-15	1.03
chr16-4	chr16	38088725	38088895	+	8.34	0.574	24.500000	19.7	3.0	6.58	5.59e-10	6.10	5.04e-14	1.11
chr7-3	chr7	4739819	4739989	+	8.20	0.616	25.000000	19.4	1.0	19.39	3.18e-18	6.98	8.16e-15	1.04
chr19-4	chr19	41829768	41829938	+	8.20	0.766	24.000000	19.4	2.0	9.69	6.48e-13	9.03	1.48e-17	1.10
chr4-4	chr4	43044095	43044265	+	8.06	0.635	27.500000	19.0	4.0	4.76	5.16e-08	6.80	9.99e-15	0.98
chr14-4	chr14	59737205	59737375	+	8.06	0.586	26.500000	19.0	2.0	9.52	6.48e-13	7.88	2.81e-16	1.02
chr1-15	chr1	132322887	132323057	+	7.91	0.592	25.000000	18.7	1.5	12.47	5.59e-14	7.02	2.17e-14	1.04
chr8-3	chr8	72161070	72161240	+	7.91	0.683	23.500000	18.7	1.5	12.47	5.59e-14	9.03	5.53e-17	1.09
chr3-6	chr3	127294080	127294250	+	7.77	0.602	24.500000	18.4	3.5	5.25	3.58e-08	7.69	1.67e-15	1.04
chr4-9	chr4	140624763	140624933	+	7.77	0.660	24.500000	18.4	2.0	9.18	6.19e-12	7.13	9.91e-15	1.04
chr12-4	chr12	108320810	108320980	+	7.77	0.600	26.500000	18.4	2.5	7.35	2.15e-10	6.76	3.43e-14	0.96
chr18-8	chr18	34860881	34861051	+	7.77	0.734	20.500000	18.4	4.0	4.59	2.48e-07	7.81	1.17e-15	1.22
chr14-5	chr14	25108612	25108782	+	7.62	0.641	23.500000	18.0	2.0	9.01	6.19e-12	6.17	1.17e-12	1.05
chr3-4	chr3	35179082	35179252	+	7.48	0.633	26.000000	17.7	3.5	5.05	1.87e-07	9.34	6.24e-17	0.97
chr5-4	chr5	120613179	120613349	+	7.48	0.723	21.500000	17.7	3.0	5.90	2.16e-08	6.65	1.43e-13	1.12
chr7-5	chr7	44929568	44929738	+	7.48	0.598	24.000000	17.7	3.5	5.05	1.87e-07	7.35	1.52e-14	1.01
chr10-4	chr10	79908739	79908909	+	7.48	0.640	24.000000	17.7	1.0	17.69	1.09e-15	6.88	6.75e-14	1.03
chr7-8	chr7	27507906	27508076	+	7.34	0.726	22.500000	17.3	1.5	11.57	6.74e-13	8.50	3.08e-15	1.06
chr8-8	chr8	4166123	4166293	+	7.34	0.596	21.000000	17.3	1.0	17.35	1.09e-15	7.50	4.74e-14	1.14
chr8-10	chr8	113635006	113635176	+	7.34	0.648	21.000000	17.3	3.5	4.96	1.87e-07	6.83	3.65e-13	1.11
chr19-6	chr19	20122683	20122853	+	7.34	0.632	22.500000	17.3	4.0	4.34	1.13e-06	8.94	1.01e-15	1.04
chr5-5	chr5	135545304	135545474	+	7.19	0.576	21.500000	17.0	2.0	8.50	5.61e-11	6.54	5.96e-13	1.17
chr7-6	chr7	28810382	28810552	+	7.19	0.651	23.000000	17.0	1.5	11.34	6.74e-13	6.05	3.14e-12	1.08
chr8-4	chr8	69716974	69717144	+	7.19	0.613	23.000000	17.0	1.0	17.01	1.09e-15	7.69	1.80e-14	1.01
chr16-5	chr16	22439714	22439884	+	7.19	0.587	24.000000	17.0	1.5	11.34	6.74e-13	7.03	1.25e-13	0.99
chr17-10	chr17	34603779	34603949	+	7.19	0.600	24.500000	17.0	2.0	8.50	5.61e-11	5.74	9.51e-12	0.97
chr5-3	chr5	93267286	93267456	+	7.05	0.697	21.500000	16.7	2.5	6.67	1.07e-08	6.79	1.19e-12	1.07
chr10-7	chr10	79854241	79854411	+	7.05	0.610	22.500000	16.7	2.5	6.67	1.07e-08	6.40	4.11e-12	1.02
